"功能属性","说明",,,
"SKU","QTME0059DP",QTME0091DP,QTME0092DP,QTME0093DP
"搭载模块型号","EC800NCNLA-N05-SNNSA",EC800MCNLA-I05-SNNDA,EC800MCNGA-I05-SGNSA,EC800GCNLD-I03-SNNSA
"主芯片 / 平台","ASR1603",ASR1606,ASR1606,UIS8850
"芯片架构","Cortex-R5",Cortex-R5,Cortex-R5,Cortex-A5
"RAM 总容量","16 MB",8 MB,8 MB,8 MB
"RAM 可用空间 [1]_ ","512 KB",512 KB,512 KB,256 KB
"Flash 总容量","8 MB",8 MB,8 MB,4 MB
"Flash 可用空间 [1]_ ","576 KB",576 KB,576 KB,128 KB
